Training Log - Episode | Step | State | Action Distribution | Probability of Selected Action
====================================================================================================
Episode 1 | Step 1 | State: [0.064, 0.064, 0.555, 0.523, 0.172, 0.059, 0.594, 0.059] | Action Distribution: FORWARD: 0.1627 | TURN_LEFT: 0.1595 | TURN_RIGHT: 0.1739 | FORWARD_LEFT: 0.1532 | FORWARD_RIGHT: 0.1777 | BACKWARD: 0.1730 | Selected: FORWARD (prob: 0.1627)
Episode 1 | Step 2 | State: [0.064, 0.064, 0.614, 0.523, 0.254, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1641 | TURN_LEFT: 0.1589 | TURN_RIGHT: 0.1765 | FORWARD_LEFT: 0.1505 | FORWARD_RIGHT: 0.1759 | BACKWARD: 0.1740 | Selected: FORWARD_LEFT (prob: 0.1505)
Episode 1 | Step 3 | State: [0.064, 0.064, 0.656, 0.523, 0.501, 0.081, 0.578, 0.059] | Action Distribution: FORWARD: 0.1689 | TURN_LEFT: 0.1595 | TURN_RIGHT: 0.1826 | FORWARD_LEFT: 0.1410 | FORWARD_RIGHT: 0.1739 | BACKWARD: 0.1740 | Selected: FORWARD_LEFT (prob: 0.1410)
Episode 1 | Step 4 | State: [0.064, 0.064, 0.729, 0.523, 1.000, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1726 | TURN_LEFT: 0.1594 | TURN_RIGHT: 0.1869 | FORWARD_LEFT: 0.1270 | FORWARD_RIGHT: 0.1847 | BACKWARD: 0.1694 | Selected: FORWARD_LEFT (prob: 0.1270)
Episode 1 | Step 5 | State: [0.064, 0.179, 0.898, 0.523, 1.000, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1731 | TURN_LEFT: 0.1564 | TURN_RIGHT: 0.1896 | FORWARD_LEFT: 0.1249 | FORWARD_RIGHT: 0.1853 | BACKWARD: 0.1706 | Selected: TURN_RIGHT (prob: 0.1896)
Episode 1 | Step 6 | State: [0.064, 0.114, 1.000, 0.523, 1.000, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1735 | TURN_LEFT: 0.1555 | TURN_RIGHT: 0.1924 | FORWARD_LEFT: 0.1237 | FORWARD_RIGHT: 0.1838 | BACKWARD: 0.1711 | Selected: BACKWARD (prob: 0.1711)
Episode 1 | Step 7 | State: [0.064, 0.064, 0.628, 0.523, 0.775, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1713 | TURN_LEFT: 0.1598 | TURN_RIGHT: 0.1841 | FORWARD_LEFT: 0.1343 | FORWARD_RIGHT: 0.1789 | BACKWARD: 0.1716 | Selected: FORWARD (prob: 0.1713)
Episode 1 | Step 8 | State: [0.064, 0.114, 1.000, 0.523, 1.000, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1735 | TURN_LEFT: 0.1555 | TURN_RIGHT: 0.1925 | FORWARD_LEFT: 0.1237 | FORWARD_RIGHT: 0.1838 | BACKWARD: 0.1711 | Selected: FORWARD_LEFT (prob: 0.1237)
Episode 1 | Step 9 | State: [0.064, 0.217, 1.000, 1.000, 1.000, 0.059, 0.578, 0.059] | Action Distribution: FORWARD: 0.1652 | TURN_LEFT: 0.1465 | TURN_RIGHT: 0.1970 | FORWARD_LEFT: 0.1244 | FORWARD_RIGHT: 0.1948 | BACKWARD: 0.1721 | Selected: FORWARD (prob: 0.1652)
Episode 1 | Step 10 | State: [0.097, 0.136, 1.000, 1.000, 1.000, 0.059, 0.578, 1.000] | Action Distribution: FORWARD: 0.1831 | TURN_LEFT: 0.1384 | TURN_RIGHT: 0.1787 | FORWARD_LEFT: 0.1270 | FORWARD_RIGHT: 0.1959 | BACKWARD: 0.1770 | Selected: TURN_LEFT (prob: 0.1384)
Episode 2 | Step 1 | State: [0.064, 0.181, 1.000, 1.000, 1.000, 1.000, 0.578, 1.000] | Action Distribution: FORWARD: 0.1995 | TURN_LEFT: 0.1557 | TURN_RIGHT: 0.1851 | FORWARD_LEFT: 0.0934 | FORWARD_RIGHT: 0.2190 | BACKWARD: 0.1472 | Selected: TURN_RIGHT (prob: 0.1851)
Episode 2 | Step 2 | State: [0.098, 0.135, 1.000, 1.000, 1.000, 0.059, 0.578, 1.000] | Action Distribution: FORWARD: 0.1831 | TURN_LEFT: 0.1384 | TURN_RIGHT: 0.1787 | FORWARD_LEFT: 0.1270 | FORWARD_RIGHT: 0.1958 | BACKWARD: 0.1770 | Selected: FORWARD (prob: 0.1831)
